Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Death Sentence,Alexander Gordon Smith,"7,038",ratings564,"October 1, 2009","Alex's second attempt to break out of Furnace Penetentiary has failed. This time his punishment will be much worse than before. Because in the hidden, bloodstained laboratories beneath the prison, he will be made into a monster. As the warden pumps something evil into his veins--a sinisterly dark nectar--Alex becomes what he most fears . . . a superhuman minion of Furnace. How can he escape when the darkness is inside him? How can he lead the way to freedom if he is lost to himself?","297 pages, Hardcover",Horror,"1,154 follower",564 reviews,43,44 (<1%),199 (2%),973 (13%),"2,294 (32%)","3,528 (50%)"
Secrets At Maple Syrup Farm: The perfect cosy romantic comedy to fall in love with in Autumn 2023,Rebecca Raisin,"1,000",ratings111,"March 23, 2015","A small town, opposites attract romance, perfect for cozying up with by the fire this Autumn.‘Rebecca’s stories are like a warm hug, gently enticing you into the heart of Ashford life, making you feel you belong there… an absolute joy from start to finish’ ⭐⭐⭐⭐⭐ – Paris Baker’s Book NookLucy would do anything for her mom…but she never expected to end up promising to leave her. After her mom got sick, Lucy dropped everything to take care of her, working all hours in a greasy diner just to make ends meet and spending every spare moments she had by her mom’s hospital bedside.Now, Lucy is faced with a whole year of living by her own rules, starting by taking the first bus out of town to anywhere…Except she didn’t expect to find her next big adventure just around the corner! Especially when on her first day in town she bumps into grumpy, but oh-so-delicious Clay amidst the maple trees. Surrounded by the magic of Ashford, Lucy has the chance to change her life forever and finally discover a life she wants to live!Fall in love with Ashford, Connecticut in this dazzling and beautiful romance from bestselling author Rebecca Raisin.What readers are saying about Secrets at Maple Syrup Farm‘[Rebecca Raisin] is a modern Maeve Binchy’ – Books for Bunny‘A touching story mixed with laughter and secrets, a reminder of how important it is to live your own life’ – Reviewed the Book‘I smiled, laughed and cried throughout Secrets at Maple Syrup Farm. If you like me are looking for a read that will pull at your heart strings, make you smile and awww then this is a book for you.’ – Crooks on Books‘another wonderful story set in Ashford and her beautiful writing always adds this unique atmosphere.’ – Sky’s Book Corner","306 pages, Kindle Edition",Romance,"1,024 follower",111 reviews,31,11 (1%),48 (4%),177 (17%),327 (32%),437 (43%)
The Frozen Hours,Jeff Shaara,"3,912",ratings459,"May 23, 2017","The master of military historical fiction turns his discerning eye to the Korean War in this riveting new novel, which tells the dramatic story of the Americans and the Chinese who squared off in one of the deadliest campaigns in the annals of combat: the Battle of Chosin Reservoir, also known as Frozen Chosin.
June 1950. The North Korean army invades South Korea, intent on uniting the country under Communist rule. In response, the United States mobilizes a force to defend the overmatched South Korean troops, and together they drive the North Koreans back to their border with China.But several hundred thousand Chinese troops have entered Korea, laying massive traps for the Allies. In November 1950, the Chinese spring those traps. Allied forces, already battling stunningly cold weather, find themselves caught completely off guard as the Chinese advance around the Chosin Reservoir in North Korea. A force that once stood on the precipice of victory now finds itself on the brink of annihilation. Assured by General Douglas MacArthur that they would be home by Christmas, the soldiers and Marines fight for their lives against the most brutal weather conditions imaginable--and an enemy that outnumbers them more than six to one.The Frozen Hours tells the story of Frozen Chosin from multiple points of view: Oliver P. Smith, the commanding general of the American 1st Marine Division, who famously redefined defeat as ""advancing in a different direction""; Marine Private Pete Riley, a World War II veteran who now faces the greatest fight of his life; and the Chinese commander Sung Shi-Lun, charged with destroying the Americans he has so completely surrounded, ever aware that above him, Chairman Mao Tse-Tung watches his every move.Written with the propulsive force Shaara brings to all his novels of combat and courage, The Frozen Hours transports us to the critical moment in the history of America's ""Forgotten War,"" when the fate of the Korean peninsula lay in the hands of a brave band of brothers battling both the elements and a determined, implacable foe.
PRAISE FOR JEFF SHAARA'S RECENT CIVIL WAR SERIES
A Blaze of Glory--Library Journal""Dynamic portrayals [of] Johnston, Grant and William Tecumseh Sherman.""--The Wall Street JournalA Chain of Thunder""Shaara continues to draw powerful novels from the bloody history of the Civil War.""--Kirkus Reviews""The voices of these people come across to the reader as poignantly clear as they did 150 years ago.""--Historical Novels ReviewThe Smoke at Dawn""Beautifully written . . . Shaara once again elevates history from mere rote fact to explosive and engaging drama.""--Bookreporter""Shaara's mastery of military tactics, his intimate grasp of history, and his ability to interweave several supporting narratives into a cohesive and digestible whole . . . will appeal to a broad range of historical and military fiction fans.""--BooklistThe Fateful Lightning""Powerful and emotional . . . highly recommended.""--Historical Novels Review""Readers . . . looking for an absorbing novel will be well rewarded.""--The Clarion-Ledger","527 pages, Hardcover",Historical Fiction,"1,886 follower",459 reviews,53,20 (<1%),60 (1%),350 (8%),"1,383 (35%)","2,099 (53%)"
The Alphabet,Ron Silliman,59,ratings8,"January 1, 2008","A remarkable and notorious literary achievementThe Alphabet —decades in the making, continually debated, discussed, and imitated since fragments first appeared in the 1970s. Consisting of twenty-six smaller books, one for each letter of the alphabet, it employs language in ways that are startling and innovative. Over the course of the three decades during which it has appeared—in journals, magazines, and as stand-alone volumes—its influence has been wide-ranging, both on practicing poets and on critics who have had to contend with the way it has changed the direction of American poetry. Ron Silliman, a founder of the language poetry movement in the 1960s and one of its most dedicated and acclaimed practitioners, has deployed in The Alphabet the full range of formal and linguistic experiments for which he is known. The Alphabet is a work of American ethnography, a cultural collage of artifacts, moments, episodes, and voices--historical and private--that capture the dizzying evolution of America’s social, cultural, and literary consciousness.","952 pages, Hardcover",Poetry,167 follower,8 reviews,66,1 (1%),3 (5%),3 (5%),11 (18%),41 (69%)
Μυθιστόρημα,Giorgos Heimonas,20,ratings2,"January 1, 2001",Είμαι εικοσιεννέα χρονών. Τον Οκτώβριο του εξηνταπέντε ένα βράδυ αποφάσισα να πεθάνω. Τότε έγινε ησυχία ακούμπησα το κεφάλι στον κορμό της φυστικιάς κι έγειρα το κεφάλι αναπαυμένος... Σε λίγη ώρα θα κλειστώ για να κοιμηθώ. Θα πω να μην έρθουν το πρωί να με ξυπνήσουν. Είχα υποφέρει πολύ τον τελευταίο καιρό.,"43 pages, Paperback",favorites,22 follower,2 reviews,15,0 (0%),2 (10%),2 (10%),7 (35%),9 (45%)
Bird Brain,Guy Kennaway,369,ratings46,"October 1, 2011","Life was always difficult for Banger Peyton-Crumbe, an antiquated, misanthropic blood-sport obsessive, but it gets considerably worse when he is killed in a shooting incident and returns to earth as a pheasant. Banger's family think his death was an accident, but his gun dogs, who witnessed their master's demise, know it to be murder.","291 pages, Hardcover",Fiction,11 follower,46 reviews,10,10 (2%),33 (8%),74 (20%),137 (37%),115 (31%)
The Forbidden Universe: The Occult Origins of Science and the Search for the Mind of God,Lynn Picknett,225,ratings31,"March 1, 2011","Secret societies, famous scientists, ancient Egyptian mysticism, and a fascinating addition to the god-versus-science debate: the Catholic Church. By the bestselling authors of The Templar Revelation and Mary Magdalene, The Forbidden Universe reveals how the foundations of modern science were based around a desire to destroy the church. The great pioneering scientists of the Renaissance and the early Enlightenment (including Copernicus, Galileo, and Sir Isaac Newton) were fervent devotees of the philosophical/mystical system of Hermeticism. Many of the most important scientists of this age, including Galileo, belonged to a secret society called the Giordanisti, which had the agenda to overthrow the Church and establish a new age of Hermetic supremacy.","400 pages, Hardcover",Science,115 follower,31 reviews,57,6 (2%),13 (5%),56 (24%),85 (37%),65 (28%)
War Doctor: Surgery on the Front Line,David Nott,"12,378","ratings1,088","February 21, 2019","For more than 25 years, surgeon David Nott has volunteered in some of the world’s most dangerous conflict zones. From Sarajevo under siege in 1993 to clandestine hospitals in rebel-held eastern Aleppo, he has carried out lifesaving operations in the most challenging conditions, and with none of the resources of a major metropolitan hospital. He is now widely acknowledged as the most experienced trauma surgeon in the world.War Doctor is his extraordinary story, encompassing his surgeries in nearly every major conflict zone since the end of the Cold War, as well as his struggles to return to a “normal” life and routine after each trip. Culminating in his recent trips to war-torn Syria—and the untold story of his efforts to help secure a humanitarian corridor out of besieged Aleppo to evacuate some 50,000 people—War Doctor is a blend of medical memoir, personal journey, and nonfiction thriller that provides unforgettable, at times raw, insight into the human toll of war.","355 pages, Hardcover",Nonfiction,147 follower,"1,088 reviews",15,36 (<1%),153 (1%),828 (6%),"3,398 (27%)","7,963 (64%)"
Word of Mouse,James Patterson,"2,905",ratings474,"December 1, 2016","A very special mouse escapes from a lab to find his missing family in this charming story of survival, determination, and the power of friendship. What makes Isaiah so unique? First, his fur is as blue as the sky—which until recently was something he'd never seen, but had read all about. That's right: Isaiah can read and write. He can also talk to humans . . . if any of them are willing to listen! After a dramatic escape from a mysterious laboratory, Isaiah is separated from his ""mischief"" (which is the word for a mouse family) and has to survive in the dangerous outdoors, and hopefully find his missing family. But in a world of cruel cats, hungry owls, and terrified people, it's hard for a young, lone mouse to make it alone. When he meets an equally unusual and lonely human girl named Hailey, the two soon learn that true friendship can transcend all barriers.","304 pages, Hardcover",Middle Grade,345k follower,474 reviews,"1,573",36 (1%),116 (3%),534 (18%),978 (33%),"1,241 (42%)"
Vlad,Carlos Fuentes,"1,689",ratings329,"January 1, 2004","Where, Carlos Fuentes asks, is a modern-day vampire to roost? Why not Mexico City, populated by ten million blood sausages (that is, people), and a police force who won't mind a few disappearances? ""Vlad"" is Vlad the Impaler, of course, whose mythic cruelty was an inspiration for Bram Stoker's Dracula. In this sly sequel, Vlad really is undead: dispossessed after centuries of mayhem by Eastern European wars and rampant blood shortages. More than a postmodern riff on ""the vampire craze,"" Vlad is also an anatomy of the Mexican bourgeoisie, as well as our culture's ways of dealing with death. For--as in Dracula--Vlad has need of both a lawyer and a real-estate agent in order to establish his new kingdom, and Yves Navarro and his wife Asunci n fit the bill nicely. Having recently lost a son, might they not welcome the chance to see their remaining child live forever? More importantly, are the pleasures of middle-class life enough to keep one from joining the legions of the damned?","122 pages, Hardcover",Horror,"1,534 follower",329 reviews,350,72 (4%),211 (12%),651 (38%),548 (32%),207 (12%)
